time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.0339856968796937e-06,-8.656918201320684e-08,10.006319203464809,6.282890676030625,0.0006690367687580689,0.0,-8.140340731164376e-05,-1.7409514018214293e-05,0.21062416773064946,-0.017196370074340613,0.027259687694797224,0.0,468.43742881081744,470.5519731022106,472.5520949162495,471.22496661654986
0.12000000000000001,-3.2081354457990926e-05,-1.2122696944383878e-05,10.027192486239748,6.282735260970561,0.0029177294257731745,0.0,-0.001208557297012713,-0.0004472540538439659,0.48507530013587835,0.016922165402579976,0.05257219679455492,0.0,487.90849637473355,489.7948204399436,488.2926931544535,490.83095188995185
0.18,-0.00017919379165817523,-4.417576453814795e-05,10.05992024357611,0.000884850607951293,0.006157737739214575,0.0,-0.004031085579619406,-0.000495907297730481,0.6057918096427793,0.031200600600801483,0.05671212345425854,0.0,442.94577494504097,443.2879903879232,443.68006983498503,444.85065140665506
0.23999999999999996,-0.0005342510993411036,-5.331816830517961e-05,10.095270270952216,0.002884507887575438,0.009695444916256513,0.0,-0.008090087005319747,0.0003507117807147397,0.5725576730868588,0.03727347350736944,0.06311734375315954,0.0,393.97570461668926,394.5703041553094,390.93763387816597,391.5036033652164
0.3,-0.0012491825475439893,4.0355136053766325e-05,10.133997662040327,0.00506151531890886,0.013860865321259297,0.0,-0.0161751462230039,0.003011565926599384,0.7182688952015018,0.03422652618671493,0.07973058658379414,0.0,450.9482186979973,452.2915152509505,451.59818105956276,451.35295083217835
0.36000000000000004,-0.0025611426778226645,0.00034693164352404306,10.18258747399472,0.006898162213427206,0.018660091039902404,0.0,-0.028102640238227658,0.007430606106017344,0.9012549453673582,0.02216920157992528,0.08049492970544993,0.0,463.4130409879024,463.477966893405,463.1585095841037,462.20964419665296
0.4200000000000001,-0.004608702002053564,0.000924820001512476,10.23747482270424,0.00834203524707089,0.02368197286203788,0.0,-0.04059880803689503,0.011958835102393758,0.9282912354849039,0.027608263200872195,0.08943437155300721,0.0,413.8084849677691,414.600809369939,413.5411699697887,414.02005274544683
0.48000000000000015,-0.0075143593140434475,0.0018069030334147043,10.294515690029424,0.01022613394460059,0.029658595206772276,0.0,-0.05679267368997908,0.017610422241302163,0.973017984639184,0.038074279112020194,0.11465044327356519,0.0,419.63391224425754,421.82570465225376,418.7409232650892,419.6506821007375
0.5400000000000001,-0.01160826388089118,0.0031000958541864943,10.35742098788614,0.012808373957557073,0.03637429452697116,0.0,-0.08041174757802605,0.025762345918124735,1.1236612654389917,0.05146633527454986,0.10584294839696468,0.0,452.98028842177376,452.2823953515319,454.3913567933094,455.46450627983836
0.6000000000000002,-0.017071670208798434,0.0048734913198455855,10.424168434237039,0.016291439104747063,0.04318085413903994,0.0,-0.10225741330781327,0.03362848171784248,1.1012491224272911,0.06873161393231088,0.12543226513187153,0.0,397.2180913419887,399.0231231370246,396.3771410081498,397.9631783816676
0.6600000000000003,-0.024366877671777677,0.00733450728467351,10.49858214523283,0.02011181330794365,0.05060363920443223,0.0,-0.14186267413095802,0.048912485770628324,1.3788592862433042,0.050915976839270016,0.12003563663439176,0.0,491.6930670009222,491.30541401291424,492.2319108308985,490.91434715569267
0.7200000000000003,-0.034098096138350596,0.010754423567037949,10.587106243051354,0.02268433774686862,0.05770378729778525,0.0,-0.18332694732115404,0.06541496448576735,1.5716435924680554,0.01748827854974624,0.11470252333701189,0.0,468.3781267426457,467.9750118804827,468.4398279396093,465.8342385650876
0.7800000000000004,-0.04644368451896294,0.015200556243792095,10.686531372366423,0.02345736591173253,0.06442666140827846,0.0,-0.2289445440547597,0.08288733959714646,1.7422286687422028,0.0015610141080486606,0.1061316508338078,0.0,461.9730249844963,461.3073708653914,462.26432629372965,461.0075358607229
0.8400000000000004,-0.061204502484559754,0.02053969659512967,10.78898252587972,0.023891531107433472,0.07068311403130778,0.0,-0.2635766762637668,0.09510710911794405,1.6728765425339172,0.016681291857960183,0.10027698777859341,0.0,382.94700293198014,382.4011134915166,382.82979218862863,384.26565557582285
0.9000000000000005,-0.07871080379916677,0.026811765492418413,10.895194955067051,0.02459627435559142,0.07619372663074575,0.0,-0.32062772643188225,0.11405474306322279,1.867179025773392,-0.0006198078924350009,0.06406689240654917,0.0,470.97938925851827,468.17678184872125,469.63226774381434,468.2883925661095
0.9600000000000005,-0.09950858693847997,0.03415228070786363,11.009790273854128,0.024645196222240706,0.0799907725897544,0.0,-0.3730044214630252,0.13062494616929696,1.9524836843687716,0.0035416266567871836,0.061671450353803135,0.0,437.42090241109594,437.2243672063776,435.3511998845034,435.6992200372009
1.0200000000000005,-0.12392572692492182,0.04261057903096361,11.134441810368564,0.024598334596618088,0.08367381079964265,0.0,-0.4413248463639365,0.15131805869416026,2.20206808379384,-0.011250455621206327,0.060802984627912185,0.0,487.11100438505565,487.04839353921943,486.5321537162177,485.4234979340627
1.0800000000000005,-0.15245115359835174,0.05228113574547272,11.273066663597948,0.02430740269237308,0.0870624503483759,0.0,-0.5099107495003059,0.17096656539644942,2.418276409208877,0.005591176104057848,0.046005163353366296,0.0,478.72584835161854,477.6004853508372,476.94856226289176,478.2331231142441
1.1400000000000006,-0.1848756372894585,0.06304548272917186,11.42129695880492,0.024198694057075976,0.08942116383263166,0.0,-0.5711581260095485,0.1878569482517409,2.522468502751606,-0.02383384728487984,0.02051478905997025,0.0,447.5050381481685,445.4260620711889,444.60613674851066,442.1888503093256
