episod,total_reward
1,867.1507187864686
2,836.9327249138287
3,897.1957125999629
4,2690.89294696683
5,4847.253621261041
6,836.8334742799086
7,937.0511602749353
8,937.0127199678319
9,1121.7194002781503
10,10818.336977649207
11,6645.586276049021
12,8920.061744361063
13,6395.6777829430375
14,6820.260217869835
15,6491.097845849056
16,6836.199698729885
17,938.3069919376127
18,937.008934094776
19,936.9622687159926
20,906.6073438524639
21,906.7042346542333
22,2114.3290718468807
23,839.0720419531505
24,1035.9478380013843
25,745.1490562960322
26,872.3564327157316
27,1244.8207479906018
28,1105.5596795456233
29,743.716838949007
30,1242.8090965317015
31,838.7171202418464
32,1211.4226539336862
33,902.3005183842389
34,1245.2625948124985
35,1078.9155825828536
36,870.0767976611868
37,738.8578803768504
38,1110.9698189180244
39,1035.7789095190985
40,836.4549779427417
41,705.8608555723868
42,842.2706319236629
43,706.9490335247169
44,835.6576244864582
45,835.2136354725924
46,706.1549457586641
47,673.0313653673306
48,736.8554781701474
49,1038.5879191881493
50,970.6920003041563
51,1003.1579628143548
52,970.2283358770601
53,1241.8801574261029
54,937.7451310335337
55,969.3237179710471
56,1003.3381402965948
57,1034.9576340984488
58,1412.932055538383
59,970.2548594852706
60,1073.2624720325218
61,1070.6153778019425
62,971.372166940385
63,938.9120800911468
64,545.2768404584091
65,1670.8396240156194
66,1949.8753385720045
67,691.1236733353285
68,3147.555758265054
69,1589.597510977957
70,481.36491423527895
71,647.4585795369487
72,1167.8274661663663
73,451.15922224671255
74,579.6712284566408
75,948.8829350264456
76,1476.5502039985715
77,813.9073127512233
78,1201.2246411238616
79,550.957381466902
80,1376.9549999499234
81,613.5394298781116
82,577.4337390520928
83,549.8101480148161
84,768.9455569621543
85,953.1603125709981
86,784.6546524222128
87,870.1806459407671
88,837.9722623788485
89,1075.8417575374638
90,1343.8188323090862
91,1006.496722533851
92,738.7080312329538
93,932.8259629593365
94,644.8439546059658
95,868.1616355784906
96,1063.9522507033532
97,1138.4539228469155
98,948.3383223223528
99,840.7151297108958
100,1431.7621333294549
101,906.5705933618661
102,1166.915048940873
103,771.1482563328093
104,1002.0414393856706
105,1077.6190477700027
106,1103.256858545439
107,903.8142899681341
108,970.5413513823872
109,811.7617011788191
110,973.9230486302384
111,939.4521631352403
112,938.8885368862153
113,938.0070320589665
114,937.2784383490421
115,938.2187554438373
116,968.6666521771981
117,969.5278528219155
118,968.9256900576448
119,969.2478626238495
120,968.8758273518587
121,969.42191417677
122,970.3621792057781
123,968.9390413964351
124,968.3787101602317
125,970.0209350053552
126,1005.3391551397411
127,969.9083702065379
128,937.5338846488255
129,968.2691847487339
130,938.5081469726867
131,969.6567760185393
132,969.6285963971676
133,969.342384891832
134,972.0123152562553
135,938.144231755748
136,970.293283687437
137,969.7299663284756
138,969.1322771844686
139,969.1741695408646
140,968.9792815371692
141,938.5221547129538
142,969.1435030537182
143,969.0225469038243
144,969.4964283099215
145,968.745065720727
146,941.2603584812086
147,4887.113639596726
148,4062.8694339545073
149,5270.568807252342
150,5180.659581033138
151,5182.920884440516
152,3945.7443304159187
153,4622.551651577131
154,5128.462080551432
155,4965.3339920534145
156,4535.443265082508
157,5216.67549203111
158,5003.246825294945
159,5134.6420945077725
160,3992.7921317025402
161,4562.66749027778
162,968.9788149913603
163,937.3406222147854
164,968.6041391229293
165,969.1560378274299
166,968.8958853962243
167,937.4517666220305
168,968.7040393929461
169,969.0407702736134
170,4603.462227284759
171,4462.466040508956
172,973.3797741601869
173,1579.2878931127202
174,612.2128895797154
175,938.1972576723217
176,706.442941127387
177,1294.5976279418269
178,2460.019733716902
179,1712.211959539396
180,1079.4672725864245
181,836.4462165295192
182,1103.5355797046127
183,770.7808041611868
184,969.8767520297461
185,905.9661105642915
186,1073.125600900543
187,1003.4969368823164
188,639.2403459172381
189,836.9838797661555
190,675.0871197875234
191,1041.565060971912
192,1042.6409941395045
193,1105.8793820175435
194,1016.412560494568
195,1004.8049792528353
196,1006.7210523354618
197,970.9563991947574
198,873.1028039440577
199,1352.1752211926519
200,1343.0833379405622
201,1214.9745381049704
202,1381.7224687351802
203,905.562636312085
204,842.6071415227512
205,743.9353909702139
206,1004.2619661370019
207,773.4689534372776
208,872.5640940917912
209,936.0321872266125
210,905.3590173518031
211,1242.6329287197173
212,907.3420734846273
213,1181.2995688110116
214,969.4260488750004
215,938.3885258595301
216,938.3487844156625
217,907.5324128444557
218,874.9064273668054
219,874.0319447935852
220,969.0991797511778
221,968.8412908314466
222,938.3962370771272
223,969.0598226431263
224,1063.8296139882495
225,969.4113966143046
226,1493.3011719523752
227,737.500892470203
228,874.0544649771628
229,1207.1510202497689
230,1004.196372717026
231,968.700160720225
232,969.8382012618872
233,969.1863646366122
234,938.2998569867347
235,804.359948533686
236,1071.2342658272069
237,1073.4057426164384
238,1209.9117456167853
239,1003.3737015397485
240,1334.5701969774336
241,905.8884864287534
242,672.4781252736143
243,1174.070571228739
244,802.0657176940605
245,1209.572324324244
246,1036.1710239956428
247,740.7786349706204
248,1310.6671623059128
249,1209.753265037403
250,1039.203159570455
251,968.7814848712076
252,640.502815410057
253,1068.0246235824875
254,1177.1938837326622
255,1135.1842872793184
256,971.3018948739411
257,969.37262941308
258,839.3063059267583
259,1139.667681386265
260,1080.8239117403157
261,1208.0698760768805
262,1243.8849438935695
263,1035.6179072644004
264,938.0877393603345
265,938.1100853726541
266,968.6982118285707
267,1039.9546633712546
268,1006.6158379835224
269,870.4472171276111
270,906.556690098562
271,1212.2506438151902
272,1241.9999475266623
273,1209.8707094814115
274,938.2211274164251
275,968.5847618834803
276,969.402713785638
277,675.1206623153869
278,1038.8118304459178
279,1372.9598227102392
280,937.6692080704868
281,936.6915457819829
282,968.9347161198551
283,938.323870516179
284,968.9401558716072
285,968.6380383671974
286,1002.9759070880438
287,972.3035066817445
288,969.2583208287484
289,1004.2504548450768
290,938.3935155141473
291,968.938018688604
292,969.1681035790677
293,1211.3517482530938
294,1242.9412967623557
295,608.4568757703244
296,768.4733414487446
297,1004.294948989063
298,968.7860189213627
299,937.811767291913
300,969.2742535968772
301,1002.9571890488155
302,937.6113742869015
303,969.6091002786482
304,938.2889165467387
305,938.1110286554863
306,938.3800164061755
307,937.6657337658108
308,938.4042308419007
309,938.6244366206168
310,1275.137320220558
311,971.3676721090742
312,968.5856965611285
313,968.766193138212
314,968.8286357321905
315,969.1494173271817
316,937.869670053151
317,968.6953954942707
318,969.1788972593085
319,968.7520420323299
